Name of Medication,Strength,Condition 1,Max Quantity (1),Interval Length (1) (Days),Condition 2,Interval Length (2),Max Quantity (2),Condition 3,Max Quantity (3),Interval Length (3),Dosage 1 ,Dosage 2
Medroxyprogesterone Tablets,10,Period Delay,60,84,,,,,,,One To Be Taken Three Times A Day as Directed,
Mefenamic Acid Tablets ,250,Period Pain,112,112,,,,,,,Two To Be Taken Three Times A Day After Food,
Mefenamic Acid Tablets ,500,Period Pain,112,112,,,,,,,One To Be Taken Three Times A Day After Food,
Metronidazole Gel ,0.75,Rosacea,120,84,,,,,,,Apply Thinly Twice A Day,
Microgynon 30 Tablets,30/150,Contraception,252,308,,,,,,,One Tablet Daily For 21 Days; Subsequent Courses Repeated After 7-Day Tablet Free Interval,
Mometasone Cream,0.1,Eczema,90,84,Contact Dermatitis,84,90,,,,Apply Thinly Once Daily As Directed,
Mometasone Nasal Spray,50,Hay Fever,6,140,Nasal Congestion,140,6,,,,One-Two Sprays To Be Used In Each Nostril Once A Day,"Two Sprays To Be Used In Each Nostril Twice A Day, Then Reduce When Symptoms Under Control"
Mometasone Ointment ,0.1,Eczema,200,84,Contact Dermatitis,84,200,,,,Apply Thinly Once Daily As Directed,
Naproxen Tablets,250,Period Pain,168,56,"Pain Relief/Arthritis (Back, Knees, Legs, Arms)",56,168,,,,One To Be Taken Twice A Day With or After Meals,One To Be Taken Twice A Day With or After Meals
Naproxen Tablets,500,Period Pain,168,56,"Pain Relief/Arthritis (Back, Knees, Legs, Arms)",56,168,,,,One To Be Taken Twice A Day With or After Meals,One To Be Taken Twice A Day With or After Meals
Nitrofurantoin MR Capsules,100,Urinary Tract Infection/Cystitis,6,56,,,,,,,One To Be Taken Twice A Day For 3 Days,
Norethisterone Tablets,5,Period Delay,60,84,,,,,,,One To Be Taken Three Times A Day as Directed,
Olopatadine Eye Drops,1,Hay Fever,30,140,,,,,,,One Drop To Be Used Twice A Day In The Affected Eye(s),
Omeprazole Capsules,20,Acid Reflux,112,168,,,,,,,One To Be Taken Each Day,One To Be Taken Twice A Day
Omeprazole Capsules,40,Acid Reflux,112,168,,,,,,,One To Be Taken Each Day,One To Be Taken Each Day
Orlistat Capsules,120,Weight Loss,336,84,,,,,,,One To Be Taken Up To Three Times A Day,
Otomise Spray ,0.2/0.5/2,Ear Infection (Otitis Media/Externa),5,84,,,,,,,One Spray To Be Used In The Affected Ear(s) Three Times A Day,
Piroxicam Gel,0.5,"Pain Relief/Arthritis (Back, Knees, Legs, Arms)/Arthritis (Back, Knees, Legs, Arms)",180,112,,,,,,,Apply Three Or Four Times A Day,
Piroxicam Gel,0.5,"Pain Relief/Arthritis (Back, Knees, Legs, Arms)",224,112,,,,,,,Apply Three Or Four Times A Day,
Priligy Tablets,30,Premature Ejaculation,18,84,,,,,,,One Tablet 1-3 Hours Before Sexual Activity,
Priligy Tablets,60,Premature Ejaculation,18,84,,,,,,,One Tablet 1-3 Hours Before Sexual Activity,
Prochlorperazine Tablets,5,Nausea/Vomiting,84,84,,,,,,,One To Be Taken Two-Three Times A Day ,Two To Be Taken Two-Three Times A Day 
Proctosedyl Ointment,45417,Haemorrhoids/Piles,60,56,,,,,,,Apply Twice A Day As Directed,
Proctosedyl Suppositories,45417,Haemorrhoids/Piles,24,56,,,,,,,Insert One Suppository Twice Daily As Directed,
Rigevidon Tablets,30/150,Contraception,252,308,,,,,,,One Tablet Daily For 21 Days; Subsequent Courses Repeated After 7-Day Tablet Free Interval,
Rizatriptan,5,Migraine,12,84,,,,,,,"Take One Tablet For Migraine Attack.  If Symptoms Come Back, Take One Tablet At Least Two Hours After First Dose.",
Rizatriptan,10,Migraine,12,84,,,,,,,"Take One Tablet For Migraine Attack.  If Symptoms Come Back, Take One Tablet At Least Two Hours After First Dose.",
Scheriproct Ointment,1.9/5,Haemorrhoids/Piles,60,56,,,,,,,Apply Twice A Day For 5-7 Days As Directed,
Scheriproct Suppositories,45292,Haemorrhoids/Piles,24,56,,,,,,,Insert One Suppository Once Daily For 5-7 Days As Directed,
Sildenafil Tablets ,25,Erectile Dysfunction,38,84,,,,,,,One Tablet Approx 60 Minutes Before Sexual Activity,
Sildenafil Tablets ,50,Erectile Dysfunction,38,84,,,,,,,One Tablet Approx 60 Minutes Before Sexual Activity,
Sildenafil Tablets ,100,Erectile Dysfunction,38,84,,,,,,,One Tablet Approx 60 Minutes Before Sexual Activity,
Sumatriptan,50,Migraine,24,84,,,,,,,"Take One Tablet For Migraine Attack.  If Symptoms Come Back, Take One Tablet At Least Two Hours After First Dose.",
Sumatriptan,100,Migraine,24,84,,,,,,,"Take One Tablet For Migraine Attack.  If Symptoms Come Back, Take One Tablet At Least Two Hours After First Dose.",
Tadalafil Tablets,2.5,Erectile Dysfunction,112,84,,,,,,,One To Be Taken Each Day,
Tadalafil Tablets,5,Erectile Dysfunction,112,84,,,,,,,One To Be Taken Each Day,
Tadalafil Tablets,10,Erectile Dysfunction,38,84,,,,,,,One Tablet 30-60 Minutes Before Sexual Activity,
Tadalafil Tablets,20,Erectile Dysfunction,38,84,,,,,,,One Tablet 30-60 Minutes Before Sexual Activity,
Terbinafine Tablets,250,Nail Infection,56,42,,,,,,,One To Be Taken Each Day,
Trimethoprim Tablets,200,Urinary Tract Infection/Cystitis,14,56,,,,,,,One To Be Taken Twice A Day For 3 Days,
Uniroid HC Ointment,45417,Haemorrhoids/Piles,60,56,,,,,,,Apply Twice A Day As Directed,
Uniroid HC Suppositories,45417,Haemorrhoids/Piles,24,56,,,,,,,Insert One Suppository Twice Daily For Upto 7 Days As Directed,
Vagifem Vaginal Tablets,10,Vaginal Dryness,48,112,,,,,,,"Use One Vaginal Tablet A Day For The First 2 Weeks Of Treatment. After This, Use One Twice A Week",
Vaniqa Cream,11.5,Facial Hair,180,84,,,,,,,Apply Twice A Day As Directed,
Vardenafil Tablets,10,Erectile Dysfunction,38,84,,,,,,,One Tablet Approx 60 Minutes Before Sexual Activity,
Vardenafil Tablets,20,Erectile Dysfunction,38,84,,,,,,,One Tablet Approx 60 Minutes Before Sexual Activity,
Xyloproct Ointment,5/0.275,Haemorrhoids/Piles,40,56,,,,,,,Apply Several Times A Day As Directed,
Yasmin Tablets,45381,Contraception,252,308,,,,,,,One Tablet Daily For 21 Days; Subsequent Courses Repeated After 7-Day Tablet Free Interval,
Zineryt Lotion ,40/12,Acne,90,84,,,,,,,Apply Twice A Day,
Zolmitriptan,2.5,Migraine,24,84,,,,,,,"Take One Tablet For Migraine Attack.  If Symptoms Come Back, Take One Tablet At Least Two Hours After First Dose.",
Zolmitriptan,5,Migraine,24,84,,,,,,,"Take One Tablet For Migraine Attack.  If Symptoms Come Back, Take One Tablet At Least Two Hours After First Dose.",
